คำเมือง, คำไทย
ป้ออุ๊ย, ตา
อุ๊ย, ตา
หม่อน, ทวด
อุ๊ยหม่อน, ทวด
น้องเขย, น้องเขย
น้องจาย, น้องเขย
น้องบ่าว, น้องชาย
น้องเมีย, น้องเมีย
น้องผัว, น้องผัว
น้องไป๊, น้องสะใภ้
น้องสาว, น้องสาว
น้า, น้า
น้าเขย, น้าเขย
น้าจาย, น้าเขย
น้าไป๊, น้าสะใภ้
ป้า, ป้า
ป้าไป๊, ป้าสะใภ้
ป้ออุ๊ย, ปู่
ป้อ, พ่อ
ป้อเมีย, พ่อตา
ป้อผัว, พ่อผัว
ป้อน้า, พ่อเลียง
อ้าย, พี่ชาย
ปี้, พี่สาว
อ้ายเขย, พี่เขย
ปี้เขย, พี่เขย
ปี้ผัว, พี่สามี
ปี้ผัว, พี่ผัว
ปี้เมีย, พี่เมีย
ปี้ไป๊, พี่สะใภ้
เมีย, ภรรยา
แม่, แม่
แม่ผัว, แม่ผัว
แม่เมีย, แม่ยาย
แม่น้า, แม่เลียง
แม่อุ๊ย, ย่า
อุ๊ย, ย่า
ย่า, ย่า
แม่อุ๊ย, ยาย
อุ๊ย, ยาย
ลุง, ลุง
ลุงเขย, ลุงเขย
ลูกจาย, ลูกเขย
ลูกเขย, ลูกเขย
ลูกคนก๋าง, ลูกคนกลาง
ลูกคนเก๊า, ลูกคนโต
ลูกหล้า, ลูกคนสุดท้อง
ลูกบ่าว, ลูกชาย
ลูกคนเดียว, ลูกโทน
ลูกโตน, ลูกคนเดียว
ลูกเก๋บ, ลูกบุญธรรม
ถูกเลี้ยง, ลูกเลี้ยง
ลูกญิง, ลูกสะใภ้
ลูกไป๊, ลูกสะใภ้
ลูกสาว, ลูกสาว
ผัว, สามี
หลาน, หลาน
หลานจาย, หลานเขย
หลานเขย, หลานเขย
หลานไป๊, หลานสะใภ้
เหลน, เหลน
อา, อา
อาเขย, อาเขย
อาไป๊, อาสะใภ้
ก้น, ก้น
ออง, กระดอง
กะดูก, กระดูก
ดูก, กระดูก
ดูกดะก้าม, กระลูกเชิงกราน
ลูกขี้ข้าง, กระดูกซี่โครง
ลูกสันหลัง, กระดูกสันหลัง
ลูกด้ามมีด, กระลูกไหปลาร้า
กะเพ่าะ, กระเพาะ
ขม่อม, กระหม่อม
ลูกกาง, กราม
ก้าม, กล้าม
กะโหล้งหัว, กะโหลกศีรษะ
ก้าง, ก้าง
ก้านคอ, ก้านคอ
ก้าม, ก้าม
กีบ, กีบ
เก๋ด, เกล็ด
แก้ม, แก้ม
แก้วหู, แก้วหู
ขน, ขน
ขนกิ๊ว, ขนคิ้ว
ขนฮูดัง, ขนจมูก
ขนต๋า, ขนตา
หงีบ, ขมับ
ข้อตี๋น, ข้อเท้า
ข้อนิ้ว, ข้อนิ้ว
ข้อพั่บ, ข้อพับ
ข้อมือ, ข้อมือ
ข้อศอก, ข้อศอก
ขา, ขา
ต๋งกาง, ขากรรไกร
