ข้าว, เข้า
ตา, ป้ออุ๊ย
ตา, อุ๊ย
ทวด, หม่อน
ทวด, อุ๊ยหม่อน
น้องเขย, น้องเขย
น้องเขย, น้องจาย
น้องชาย, น้องบ่าว
น้องเมีย, น้องเมีย
น้องผัว, น้องผัว
น้องสะใภ้, น้องไป๊
น้องสาว, น้องสาว
น้า, น้า
น้าเขย, น้าเขย
น้าเขย, น้าจาย
น้าสะใภ้, น้าไป๊
ป้า, ป้า
ป้าสะใภ้, ป้าไป๊
ปู่, ป้ออุ๊ย
พ่อ, ป้อ
พ่อตา, ป้อเมีย
พ่อผัว, ป้อผัว
พ่อเลียง, ป้อน้า
พี่ชาย, อ้าย
พี่สาว, ปี้
พี่เขย, อ้ายเขย
พี่เขย, ปี้เขย
พี่สามี, ปี้ผัว
พี่ผัว, ปี้ผัว
พี่เมีย, ปี้เมีย
พี่สะใภ้, ปี้ไป๊
ภรรยา, เมีย
แม่, แม่
แม่ผัว, แม่ผัว
แม่ยาย, แม่เมีย
แม่เลียง, แม่น้า
ย่า, แม่อุ๊ย
ย่า, อุ๊ย
ย่า, ย่า
ยาย, แม่อุ๊ย
ยาย, อุ๊ย
ลุง, ลุง
ลุงเขย, ลุงเขย
ลูกเขย, ลูกจาย
ลูกเขย, ลูกเขย
ลูกคนกลาง, ลูกคนก๋าง
ลูกคนโต, ลูกคนเก๊า
ลูกคนสุดท้อง, ลูกหล้า
ลูกชาย, ลูกบ่าว
ลูกโทน, ลูกคนเดียว
ลูกคนเดียว, ลูกโตน
ลูกบุญธรรม, ลูกเก๋บ
ลูกเลี้ยง, ถูกเลี้ยง
ลูกสะใภ้, ลูกญิง
ลูกสะใภ้, ลูกไป๊
ลูกสาว, ลูกสาว
สามี, ผัว
หลาน, หลาน
หลานเขย, หลานจาย
หลานเขย, หลานเขย
หลานสะใภ้, หลานไป๊
เหลน, เหลน
อา, อา
อาเขย, อาเขย
อาสะใภ้, อาไป๊
ก้น, ก้น
กระดอง, ออง
กระดูก, กะดูก
กระดูก, ดูก
กระลูกเชิงกราน, ดูกดะก้าม
กระดูกซี่โครง, ลูกขี้ข้าง
กระดูกสันหลัง, ลูกสันหลัง
กระลูกไหปลาร้า, ลูกด้ามมีด
กระเพาะ, กะเพ่าะ
กระหม่อม, ขม่อม
กราม, ลูกกาง
กล้าม, ก้าม
กะโหลกศีรษะ, กะโหล้งหัว
ก้าง, ก้าง
ก้านคอ, ก้านคอ
ก้าม, ก้าม
กีบ, กีบ
เกล็ด, เก๋ด
แก้ม, แก้ม
แก้วหู, แก้วหู
ขน, ขน
ขนคิ้ว, ขนกิ๊ว
ขนจมูก, ขนฮูดัง
ขนตา, ขนต๋า
ขมับ, หงีบ
ข้อเท้า, ข้อตี๋น
ข้อนิ้ว, ข้อนิ้ว
ข้อพับ, ข้อพั่บ
ข้อมือ, ข้อมือ
ข้อศอก, ข้อศอก
ขา, ขา
ขากรรไกร, ต๋งกาง
ขาหนีบ, ขาหนีบ
เขา, เขา
เข่า, เข่า
แข้ง, แข้ง
แขน, แขน
คราบ, คาบ
เครา, หมุยกาง
ครีบ, คีบ
คอ, คอ
คาง, กาง
คิ้ว, กิ๊ว
เครื่องใน, คัวใน
งวง, งวง
งา, งา
เงี่ยง, เงี่ยง
จะงอยก้น, ก้นจุ้น
จมูก, ดัง
จมูก, ฮูคัง
ซอกขาพับ, กะล๋อกน่อง
ถุงน้ำดี, ดี
ดี, ดี
เดือย, เดือย
ต่อม, ต่อม
ต้นขา, เก๊าขา
ต้นแขน, เก๊าแขน
ตับ, ตั๋บ
ตะพอง, โหนก
ตา, ต๋า
ตาขาว, ต๋าขาว
ตาดำ, ต๋าดำ
ตาตุ่ม, ต๋าตี๋น
ติ่งหู, ติ่งหู
ตูด, ฮูขี้
ไต, มะแกว
ท้องขา, ต๊องขา
ท้องแขน, ต๊องแขน
ท้องน้อย, ต๊องน้อย
ท้ายทอย, ง่อน
เท้า, ตี๋น
นม, นม
นอ, นอ
น่อง, น่อง
นิ้วกลาง, นิ้วก๋าง
นิ้วก้อย, นิ้วก้อย
นิ้วก้อย, กิ่งก้อย
นิ้วเท้า, นิ้วตี๋น
นิ้วนาง, นิ้วนาง
นิ้วมือ, นิ้วมือ
นิ้วหัวแม่มือ, นิ้วโข้
นิ้วชี้, นิ้วจี๊
บ้องหู, บอกหู
เบ้าตา, เบ้าต๋า
ปอด, ปอด
ปาก, ปาก
ปีก, ปีก
ปุ่มเหงือก, ปุ่มเหงือก
ผม, ผม
ผ้าชี้ริ้ว, ญ่อ
ผิว, ผิว
ฝ่าเท้า, ฝ่าตี๋น
ฝ่ามือ, อ้งมือ
ฝ่ามือ, แป้นมือ
เพดานปาก, เพดานปาก
พุง, ปื๊นต๊อง
พุง, ปุ๋ม
พุง, ขี้ปุ๋ม
ฟัน, เขี้ยว
ฟันกราม, เขี้ยวซาว
ฟันกราม, เขี้ยวเก๊า
ฟันน้ำนม, เขี้ยวน้ำนม
มดลูก, ม่ดลูก
ม้าม, แม้ม
มือ, มือ
รักแร้, เก๊าแฮ้
ริมปีปาก, ฮิมปาก
ลายมือ, ลายมือ
ลำไส้, ไส้
ลิ้น, ลิ้น
ลิ้นไก่, ลิ้นไก่
ลิ้นปี, ลิ้นปี่
ลูกกระเดือก, แก๋นคอ
ลูกตา, แก่นต๋า
เล็บเท้า, เล่บตี๋น
เล็บมือ, เล่บมือ
สมอง, ออกออ
สะดือ, สะดือ
รก, ฮ่ก
เส้นเอ็น, เส้นเอ็น
สะโพก, ตะก้าม
สีข้าง, ขี้ข้าง
ไส้ตัน, ฮ้วน
ไส้ตัน, ไส้ตั๋น
ไส้อ่อน, ไส้หวาน
หงอน, หงอน
หนวด, หนวด
หนอก, หนอก
หนัง, หนัง
หน้า, หน้า
หน้าแข้ง, หน้าแข้ง
หน้าท้อง, หน้าต๊อง
หน้าผาก, หน้าผาก
หน้าอก, หน้าอ๋ก
เหนียง, เหนียง
หลอดลม, หลอดลม
หลังเท้า, หลังตี๋น
หลังมือ, หลังมือ
เหล็กใน, เหล๋กใน
หัว, หัว
หัวเข่า, หัวเข่า
หัวใจ, หัวใจ๋
หัวทุย, หัวง่อก
หัวเหน่า, หัวเหน่า
หัวโหนก, หัวง่ก
หัวไหล่, หัวไหล่
หาง, หาง
หู, หู
เหงือก, เหงือก
โหนก, หนอก
ไหล่, ไหล่
อัณฑะ, หำ
อัณฑะ, ขะหลำ
องคชาติ, ควย
อวัยวะเพศหญิง, หี
เอ็น, เอ็น
เอว, แอว
กะลา, กะโหล้ง
ก้าน, ก้าน
กาบ, กาบ
กิ่ง, กิ่ง
เกสร, เก๋สร
แขนง, แขนง
ข้อ, ข้อ
ขั้ว, ขวั้น
ค่าคบ, ง่าไม้
เครือ, เคือ
โคนต้น, เก๊า
โคนต้น, ตางเก๊า
แง่ง, แง่ง
จั่น, จั่น
จาว, จ๋าว
ซัง, แก๋น
ซัง, แก๋นใน
ต้น, เก๊า
ตอ, ต๋อ
ตาไม้, ต๋าไม้
